dataset,seed,round,fitness
CreiLOV,100,1,0.8676614358807299
CreiLOV,100,2,0.9616361148991267
CreiLOV,100,3,0.9701019091973639
CreiLOV,100,4,0.9725282080341155
CreiLOV,100,5,0.9725282080341155
CreiLOV,137,1,0.8611145385359869
CreiLOV,137,2,0.9725282080341155
CreiLOV,137,3,0.9725282080341155
CreiLOV,137,4,0.9725282080341155
CreiLOV,137,5,0.9725282080341155
CreiLOV,167,1,0.8338256770573031
CreiLOV,167,2,0.928734006653937
CreiLOV,167,3,0.9645659264887071
CreiLOV,167,4,0.9725282080341155
CreiLOV,167,5,0.9725282080341155
CreiLOV,171,1,0.8809524094829483
CreiLOV,171,2,0.9649761001112483
CreiLOV,171,3,0.9701019091973639
CreiLOV,171,4,0.9725282080341155
CreiLOV,171,5,0.9725282080341155
CreiLOV,194,1,0.8253954034836476
CreiLOV,194,2,0.9635506041714684
CreiLOV,194,3,0.9815544260271206
CreiLOV,194,4,0.9871203550400781
CreiLOV,194,5,0.9871203550400781
CreiLOV,3,1,0.8670678897584779
CreiLOV,3,2,0.9345136433839486
CreiLOV,3,3,0.9701019091973639
CreiLOV,3,4,0.9725282080341155
CreiLOV,3,5,0.9725282080341155
CreiLOV,303,1,0.8535409755769217
CreiLOV,303,2,0.9523640390441906
CreiLOV,303,3,0.9871203550400781
CreiLOV,303,4,0.9871203550400781
CreiLOV,303,5,0.9871203550400781
CreiLOV,331,1,0.7868702608270398
CreiLOV,331,2,0.9346118439272719
CreiLOV,331,3,0.9849040692464733
CreiLOV,331,4,0.9871203550400781
CreiLOV,331,5,0.9871203550400781
CreiLOV,340,1,0.866890869505134
CreiLOV,340,2,0.9871203550400781
CreiLOV,340,3,0.9871203550400781
CreiLOV,340,4,0.9871203550400781
CreiLOV,340,5,0.9871203550400781
CreiLOV,383,1,0.7563399387737602
CreiLOV,383,2,0.9077608337160132
CreiLOV,383,3,0.9649761001112483
CreiLOV,383,4,0.9701019091973639
CreiLOV,383,5,0.9725282080341155
CreiLOV,390,1,0.9077608337160132
CreiLOV,390,2,0.9649761001112483
CreiLOV,390,3,0.9701019091973639
CreiLOV,390,4,0.9725282080341155
CreiLOV,390,5,0.9725282080341155
CreiLOV,433,1,0.8734378316687176
CreiLOV,433,2,0.9523640390441906
CreiLOV,433,3,0.9871203550400781
CreiLOV,433,4,0.9871203550400781
CreiLOV,433,5,0.9871203550400781
CreiLOV,446,1,0.8801948716942884
CreiLOV,446,2,0.945159684200485
CreiLOV,446,3,0.9725282080341155
CreiLOV,446,4,0.9725282080341155
CreiLOV,446,5,0.9849041340653139
CreiLOV,477,1,0.7602891562675292
CreiLOV,477,2,0.9410288443156981
CreiLOV,477,3,0.9645659264887071
CreiLOV,477,4,0.9725282080341155
CreiLOV,477,5,0.9725282080341155
CreiLOV,492,1,0.836027054517598
CreiLOV,492,2,0.9375962977993747
CreiLOV,492,3,0.9725282080341155
CreiLOV,492,4,0.9725282080341155
CreiLOV,492,5,0.9725282080341155
CreiLOV,511,1,0.7721827653067349
CreiLOV,511,2,0.937319650988217
CreiLOV,511,3,0.9849040692464733
CreiLOV,511,4,0.9871203550400781
CreiLOV,511,5,0.9871203550400781
CreiLOV,527,1,0.728924356461943
CreiLOV,527,2,0.900476168328956
CreiLOV,527,3,0.9645659264887071
CreiLOV,527,4,0.9725282080341155
CreiLOV,527,5,0.9849040692464733
CreiLOV,531,1,0.7911891401680518
CreiLOV,531,2,0.9871203550400781
CreiLOV,531,3,0.9871203550400781
CreiLOV,531,4,0.9871203550400781
CreiLOV,531,5,0.9871203550400781
CreiLOV,548,1,0.8103200320219257
CreiLOV,548,2,0.9457873898516685
CreiLOV,548,3,0.9649761001112483
CreiLOV,548,4,0.9701019091973639
CreiLOV,548,5,0.9725282080341155
CreiLOV,563,1,0.8588904096626844
CreiLOV,563,2,0.9849040692464733
CreiLOV,563,3,0.9871203550400781
CreiLOV,563,4,0.9871203550400781
CreiLOV,563,5,0.9871203550400781
CreiLOV,590,1,0.9871203550400781
CreiLOV,590,2,0.9871203550400781
CreiLOV,590,3,0.9871203550400781
CreiLOV,590,4,0.9871203550400781
CreiLOV,590,5,0.9871203550400781
CreiLOV,621,1,0.8368977660017315
CreiLOV,621,2,0.9443532081872646
CreiLOV,621,3,0.9804042157028484
CreiLOV,621,4,0.9849040692464733
CreiLOV,621,5,0.9871203550400781
CreiLOV,652,1,0.8032265822142769
CreiLOV,652,2,0.9280622241912289
CreiLOV,652,3,0.9649761001112483
CreiLOV,652,4,0.9701019091973639
CreiLOV,652,5,0.9725282080341155
CreiLOV,76,1,0.7669423565106552
CreiLOV,76,2,0.8877981865011327
CreiLOV,76,3,0.9551893626629214
CreiLOV,76,4,0.9725282080341155
CreiLOV,76,5,0.9725282080341155
CreiLOV,77,1,0.7976321977303499
CreiLOV,77,2,0.9389958662029636
CreiLOV,77,3,0.9871203550400781
CreiLOV,77,4,0.9871203550400781
CreiLOV,77,5,0.9871203550400781
CreiLOV,772,1,0.7773549198637919
CreiLOV,772,2,0.8997686706851448
CreiLOV,772,3,0.9645659264887071
CreiLOV,772,4,0.9725282080341155
CreiLOV,772,5,0.9725282080341155
CreiLOV,919,1,0.8493365663081929
CreiLOV,919,2,0.9380603358783527
CreiLOV,919,3,0.9871203550400781
CreiLOV,919,4,0.9871203550400781
CreiLOV,919,5,0.9871203550400781
CreiLOV,926,1,0.8200758508833449
CreiLOV,926,2,0.9290711294432602
CreiLOV,926,3,0.9616361148991267
CreiLOV,926,4,0.9701019091973639
CreiLOV,926,5,0.9871203550400781
CreiLOV,987,1,0.8413270318280764
CreiLOV,987,2,0.9380603358783527
CreiLOV,987,3,0.9871203550400781
CreiLOV,987,4,0.9871203550400781
CreiLOV,987,5,0.9871203550400781
CreiLOV,998,1,0.8669992466064124
CreiLOV,998,2,0.9675459726796575
CreiLOV,998,3,0.9871203550400781
CreiLOV,998,4,0.9871203550400781
CreiLOV,998,5,0.9871203550400781
PAB1,100,1,0.4220308999667565
PAB1,100,2,0.49950650030757304
PAB1,100,3,0.5382153788642151
PAB1,100,4,0.5433111674372914
PAB1,100,5,0.5852101862577553
PAB1,137,1,0.3986495232464064
PAB1,137,2,0.4522704221831795
PAB1,137,3,0.47077131063261873
PAB1,137,4,0.5408972796547264
PAB1,137,5,0.5412304457486297
PAB1,167,1,0.40276383846817343
PAB1,167,2,0.46270862759617337
PAB1,167,3,0.534283719297364
PAB1,167,4,0.5423179801513641
PAB1,167,5,0.5712882203670839
PAB1,171,1,0.41745501939876156
PAB1,171,2,0.46727692588865977
PAB1,171,3,0.5127017482234536
PAB1,171,4,0.5601829109178784
PAB1,171,5,0.5721841093511257
PAB1,194,1,0.39293625594927944
PAB1,194,2,0.44304724236829757
PAB1,194,3,0.4954020829065298
PAB1,194,4,0.51678773206847
PAB1,194,5,0.5433178870587001
PAB1,3,1,0.41136395500877976
PAB1,3,2,0.4839041296333838
PAB1,3,3,0.5479259128426236
PAB1,3,4,0.5666588552449028
PAB1,3,5,0.5689301326839203
PAB1,303,1,0.39612862095262186
PAB1,303,2,0.45469838484842495
PAB1,303,3,0.4896757849922115
PAB1,303,4,0.5500104937733106
PAB1,303,5,0.581074440892036
PAB1,331,1,0.39081162970722394
PAB1,331,2,0.5029217932914367
PAB1,331,3,0.5083506117498742
PAB1,331,4,0.5534170694104817
PAB1,331,5,0.5987939463384668
PAB1,340,1,0.3789371960237964
PAB1,340,2,0.4218586415638853
PAB1,340,3,0.44224842467190423
PAB1,340,4,0.48356896581419684
PAB1,340,5,0.5143117785935686
PAB1,383,1,0.41960979313146196
PAB1,383,2,0.4837535283887017
PAB1,383,3,0.5371547683499632
PAB1,383,4,0.590800321032851
PAB1,383,5,0.6135535493600215
PAB1,390,1,0.4454408804809414
PAB1,390,2,0.47213044486824074
PAB1,390,3,0.5194794398740104
PAB1,390,4,0.565297587075455
PAB1,390,5,0.6078182162790792
PAB1,433,1,0.42137437479397905
PAB1,433,2,0.4906279735069756
PAB1,433,3,0.526869525129714
PAB1,433,4,0.5903145105661346
PAB1,433,5,0.6152018089276108
PAB1,446,1,0.415132436742231
PAB1,446,2,0.47928243759240596
PAB1,446,3,0.5148234232804308
PAB1,446,4,0.5587726076732854
PAB1,446,5,0.5635696455107547
PAB1,477,1,0.4029535315644296
PAB1,477,2,0.41046052915207665
PAB1,477,3,0.47131891437458756
PAB1,477,4,0.5269926576517453
PAB1,477,5,0.5585498613041536
PAB1,492,1,0.377126689381178
PAB1,492,2,0.41552626104020274
PAB1,492,3,0.48034472801201006
PAB1,492,4,0.5654488693628474
PAB1,492,5,0.591855982636741
PAB1,511,1,0.41191033287386997
PAB1,511,2,0.4505826621383899
PAB1,511,3,0.4508224345752805
PAB1,511,4,0.49245988759212267
PAB1,511,5,0.5176415780158596
PAB1,527,1,0.41671377251281655
PAB1,527,2,0.46254967222757765
PAB1,527,3,0.5285551512406779
PAB1,527,4,0.5747856925046632
PAB1,527,5,0.634622014230328
PAB1,531,1,0.4012289952132811
PAB1,531,2,0.4533993639827032
PAB1,531,3,0.497317901453592
PAB1,531,4,0.5806063375357886
PAB1,531,5,0.6271375364549698
PAB1,548,1,0.3745183866062318
PAB1,548,2,0.44218508769984166
PAB1,548,3,0.5128872188549055
PAB1,548,4,0.5602323092158025
PAB1,548,5,0.5732400433720999
PAB1,563,1,0.40348851331483326
PAB1,563,2,0.4526234293213776
PAB1,563,3,0.49469761232694365
PAB1,563,4,0.5229597951381362
PAB1,563,5,0.5580242779431528
PAB1,590,1,0.3812200965917373
PAB1,590,2,0.48559815527110867
PAB1,590,3,0.5603993462912277
PAB1,590,4,0.6060623519632546
PAB1,590,5,0.6109608197617187
PAB1,621,1,0.37563361674585377
PAB1,621,2,0.4291534716458346
PAB1,621,3,0.5138952528719184
PAB1,621,4,0.5487551504467458
PAB1,621,5,0.5868267092350423
PAB1,652,1,0.43282964939060975
PAB1,652,2,0.4869763132997731
PAB1,652,3,0.5519518287205871
PAB1,652,4,0.6050311170912425
PAB1,652,5,0.6390593253081904
PAB1,76,1,0.3968708212983614
PAB1,76,2,0.45854382440814573
PAB1,76,3,0.5024348931563838
PAB1,76,4,0.5460467797962256
PAB1,76,5,0.5652109130398512
PAB1,77,1,0.4121131019901648
PAB1,77,2,0.46124325069773675
PAB1,77,3,0.4938917571892101
PAB1,77,4,0.5436466944792572
PAB1,77,5,0.5732631988242518
PAB1,772,1,0.3968635568427843
PAB1,772,2,0.4500134466410793
PAB1,772,3,0.5156119799333215
PAB1,772,4,0.5646954091109635
PAB1,772,5,0.5827182509805843
PAB1,919,1,0.40121927900394677
PAB1,919,2,0.45584312683882877
PAB1,919,3,0.5054748862039972
PAB1,919,4,0.5488780559545404
PAB1,919,5,0.5689658193219427
PAB1,926,1,0.384089556544679
PAB1,926,2,0.45729806108237336
PAB1,926,3,0.45729806108237336
PAB1,926,4,0.5144128453317844
PAB1,926,5,0.5736784986690233
PAB1,987,1,0.4030050637961794
PAB1,987,2,0.444407330063714
PAB1,987,3,0.5032604077270227
PAB1,987,4,0.5607435452770386
PAB1,987,5,0.5776363556787992
PAB1,998,1,0.4207407326562693
PAB1,998,2,0.469152653721506
PAB1,998,3,0.5102321965500294
PAB1,998,4,0.5624344381182959
PAB1,998,5,0.5897425708979825
